,,,,,tRun,pBrakeTotal,rPedal,vCar
32.63428116,0,100,47.39722694,,,,,
32.70283508,0,100,50.89994021,,,,,
32.76775742,0,100,53.98711654,,,,,
32.82971191,0,100,56.76237753,,,,,
32.88917542,0,100,59.29224535,,,,,
32.94651031,0,100,61.62297927,,,,,
33.00199127,0,100,63.78818368,,,,,
33.05585098,0,100,65.8078537,,,,,
33.10870361,0,100,67.69498063,,,,,
33.16154861,0,100,68.34137447,,,,,
33.21565247,0.412962539,0,67.72174605,,,,,
33.27191544,0.683660234,0,65.17968342,,,,,
33.33054733,0.663970156,0,62.60891216,,,,,
33.39176178,0.641325313,0,60.02690053,,,,,
33.45581818,0.619249141,0,57.43253271,,,,,
33.52302551,0.59926707,0,54.81784021,,,,,
33.59376907,0.581241484,0,52.16689629,,,,,
33.66853333,0.565018086,0,49.46839876,,,,,
33.74794388,0.550814258,0,46.70129855,,,,,
33.83283234,0.538987813,0,43.8442959,,,,,
33.92432404,0.527943047,0,40.85998928,,,,,
34.02383041,0.506899297,0,37.72805057,,,,,
34.13254166,0.451210547,0,34.5290438,,,,,
34.250103,0.338394375,0,31.61145504,,,,,
34.37078857,0.097337441,0,29.54918557,,,,,
34.49049759,0,100,30.03000871,,,,,
34.60933304,0,100,30.03253213,,,,,
34.72138214,0,100,30.47425769,,,,,
34.82328033,0,100,33.69466032,,,,,
34.91925812,0,100,36.86850841,,,,,
35.01420975,0,100,38.04730271,,,,,
35.10939026,5.4899E-05,0,37.67781906,,,,,
35.20433426,0,100,37.86481308,,,,,
35.29878616,0,100,37.86481308,,,,,
35.3913765,0,100,38.25967513,,,,,
35.48094177,0,100,39.39735999,,,,,
35.56752777,0,100,40.88189669,,,,,
35.65224838,0,100,42.15910095,,,,,
35.73628235,0,100,42.7108442,,,,,
35.8198204,0,100,42.85058332,,,,,
35.90300369,0,100,43.22006697,,,,,
35.98598099,0,100,43.22006697,,,,,
36.0676651,0,100,43.43340756,,,,,
36.14627838,0,100,44.58716678,,,,,
36.22141266,0,100,46.87643421,,,,,
36.296875,0.01724496,0,48.82328553,,,,,
36.37678909,0.513109531,0,46.4591944,,,,,
36.46200943,0.5150075,0,43.51556806,,,,,
36.55229187,0.407975391,0,40.85570119,,,,,
36.64632416,0.256972969,0,38.78626658,,,,,
36.74150085,0.06185749,0,37.67781906,,,,,
36.83643341,0,100,37.86841796,,,,,
36.93082428,0,100,37.87042983,,,,,
37.02231598,0,100,38.30576274,,,,,
37.10799408,0,100,40.28220158,,,,,
37.1869545,0,100,43.63665103,,,,,
37.2599678,0,100,47.42477171,,,,,
37.32825851,0,100,51.05625836,,,,,
37.39286804,0,100,54.22650157,,,,,
37.45448303,0,100,57.06122945,,,,,
37.51359558,0,100,59.63580129,,,,,
37.5705719,0,100,62.00117644,,,,,
37.62569809,0,100,64.19378486,,,,,
37.67926788,0,100,66.23979457,,,,,
37.7325592,0,100,67.97559183,,,,,
37.7871933,0.434924492,0,66.95486663,,,,,
37.84363174,0.552194531,0,64.64870088,,,,,
37.90153503,0.40293375,0,62.74919373,,,,,
37.96057892,0.282273711,0,61.42295272,,,,,
38.02093887,0.310360195,0,60.35481469,,,,,
38.08329773,0.451166836,0,58.76740141,,,,,
38.1484108,0.567197266,0,56.5387922,,,,,
38.21692276,0.61388918,0,53.8883461,,,,,
38.28933334,0.603682773,0,51.06014134,,,,,
38.36597061,0.554061094,0,48.23561014,,,,,
38.44684219,0.469788008,0,45.58457008,,,,,
38.53136826,0.347049492,0,43.32385336,,,,,
38.61701584,0.085855,0,41.7421358,,,,,
38.70219421,0,100,42.2080553,,,,,
38.78755569,0,100,42.2080553,,,,,
38.87662125,0.291325742,0,42.02390399,,,,,
38.97319031,0.517585352,0,38.70397905,,,,,
39.07629776,0.361737461,0,35.75233613,,,,,
39.18119049,0.078967266,0,33.98298597,,,,,
39.2851944,0,100,34.56593037,,,,,
39.38931274,0,100,34.56813107,,,,,
39.49897003,0.237795,0,34.48918406,,,,,
39.61902618,0.382908828,0,31.08023217,,,,,
39.73918915,0,100,28.81021827,,,,,
39.85505676,0,100,31.02711675,,,,,
39.96989059,0,100,31.02711675,,,,,
40.07842255,0,100,31.58707571,,,,,
40.17642593,0,100,34.66159375,,,,,
